service_id,date,exception_type,holiday_name
Green-C-SeptUnionSq-Wdy-NGLX,20220929,1,
LRV422-hlb42011-Wdy-01-3a38125a,20220929,1,
RTL422-hms42l31-Sa-01,20220929,1,
Green-C-SeptUnionSq-Wdy-NGLX,20220930,1,
LRV422-hlb42011-Wdy-01-3a38125a,20220930,1,
RTL422-hms42l31-Sa-01,20220930,1,
BUS422-hbc42cl1-Wdy-02,20221010,1,Columbus Day
BUS422-hbc42wk1-Wdy-02,20221010,2,Columbus Day
BUS422-hbs42sn1-Wdy-02,20221010,1,Columbus Day
BUS422-hbs42sw1-Wdy-02,20221010,2,Columbus Day
ColumbusDay-VeteransDay-DfrThgD,20221010,1,Columbus Day
FllWkd,20221010,2,Columbus Day
LRV422-hlb42011-Wdy-01-NGLX,20221010,2,Columbus Day
LRV422-hlb42011-Wdy-01-NGLX,20221011,2,
LRV422-hlb42011-Wdy-01-NGLX,20221012,2,
LRV422-hlb42011-Wdy-01-NGLX,20221013,2,
LRV422-hlb42011-Wdy-01-NGLX,20221014,2,
RTL422-hms42016-Sa-01,20221015,2,
SprStd,20221015,2,
RTL422-hms42017-Su-01,20221016,2,
SPR22-S-Su-1-S8f,20221016,2,
SPR22-S-Su-1-Sb6,20221016,2,
SPR22-S-Su-1-Sc0,20221016,2,
SprStd,20221022,2,
SPR22-S-Su-1-S8f,20221023,2,
SPR22-S-Su-1-Sb6,20221023,2,
SPR22-S-Su-1-Sc0,20221023,2,
Green-C-SeptUnionSq-Wdy-NGLX,20221024,1,
LRV422-hlb42011-Wdy-01-3a38125a,20221024,1,
LRV422-hlb42011-Wdy-01-NGLX,20221024,2,
Green-C-SeptUnionSq-Wdy-NGLX,20221025,1,
LRV422-hlb42011-Wdy-01-3a38125a,20221025,1,
LRV422-hlb42011-Wdy-01-NGLX,20221025,2,
Green-C-SeptUnionSq-Wdy-NGLX,20221026,1,
LRV422-hlb42011-Wdy-01-3a38125a,20221026,1,
LRV422-hlb42011-Wdy-01-NGLX,20221026,2,
Green-C-SeptUnionSq-Wdy-NGLX,20221027,1,
LRV422-hlb42011-Wdy-01-3a38125a,20221027,1,
LRV422-hlb42011-Wdy-01-NGLX,20221027,2,
Green-C-SeptUnionSq-Wdy-NGLX,20221028,1,
LRV422-hlb42011-Wdy-01-3a38125a,20221028,1,
LRV422-hlb42011-Wdy-01-NGLX,20221028,2,
BUS422-hbc42fr1-Wdy-02,20221111,2,Veterans Day
BUS422-hbc42nf1-Wdy-02,20221111,1,Veterans Day
BUS422-hbs42sn1-Wdy-02,20221111,1,Veterans Day
BUS422-hbs42sw1-Wdy-02,20221111,2,Veterans Day
ColumbusDay-VeteransDay-DfrThgD,20221111,1,Veterans Day
FllWkd,20221111,2,Veterans Day
BUS422-hbs42sw6-Sa-02,20221119,2,
BUS422-hbs42sw1-Wdy-02,20221121,2,
BUS422-hbs42sw1-Wdy-02,20221122,2,
BUS422-hbs42sw1-Wdy-02,20221123,2,
BUS422-hbc42wk1-Wdy-02,20221124,2,Thanksgiving Day
